latitude,longitude,confidence
24.728603,-99.859276,n
25.148167,-100.102242,n
25.147379,-100.095558,n
25.149965,-100.117432,n
25.147791,-100.099052,n
25.145893,-100.118347,n
24.703403,-99.859978,n
24.703882,-99.863907,n
24.702181,-99.816521,n
24.707918,-99.863388,n
24.708378,-99.867157,n
24.702749,-99.821152,n
24.707405,-99.8592,n
24.710819,-99.853645,n
25.145395,-100.11412,n
25.143251,-100.096016,n
25.141302,-100.114876,n
25.137253,-100.116005,n
25.133177,-100.116905,n
25.11986,-100.110237,n
25.048937,-100.025803,n
24.711411,-99.858444,n
24.712439,-99.866829,n
24.712879,-99.870445,n
24.705967,-99.814087,n
24.716974,-99.870377,n
24.721073,-99.870331,n
24.723656,-99.857994,n
24.724216,-99.862526,n
24.725182,-99.870346,n
24.727774,-99.858131,n
24.72451,-99.859276,n
25.143333,-100.061409,n
25.142796,-100.056877,n
25.142805,-100.092239,n
25.136883,-100.077446,n
25.136396,-100.073334,n
24.705429,-99.809715,n
24.72501,-99.863609,n
24.725906,-99.871315,n
24.72547,-99.867554,n
24.720785,-99.872414,n
25.498316,-99.519707,n
24.727776,-99.865555,n
24.720779,-99.873955,n
