latitude,longitude,confidence
25.135952,-100.089424,n
25.13928,-100.088844,n
24.724592,-99.855354,n
25.141304,-100.056915,n
25.141497,-100.103638,n
25.138245,-100.090416,n
25.139099,-100.085754,n
25.139849,-100.060532,n
25.052761,-100.027267,n
24.71822,-99.859207,n
24.721819,-99.860558,n
24.726389,-99.856583,n
25.119684,-100.107262,n
25.123426,-100.107956,n
25.122393,-100.113571,n
25.138321,-100.111198,n
25.137312,-100.116684,n
25.144857,-100.096588,n
25.144119,-100.100647,n
25.143423,-100.104439,n
25.142757,-100.108086,n
25.142054,-100.111938,n
25.14106,-100.117371,n
25.147829,-100.101517,n
25.147125,-100.105362,n
25.146475,-100.108932,n
24.714628,-99.857841,n
24.734488,-99.854332,n
24.713615,-99.863335,n
24.708267,-99.850632,n
24.701929,-99.816216,n
24.698076,-99.81636,n
24.692638,-99.825333,n
25.141161,-100.095642,n
25.142004,-100.091034,n
