latitude,longitude,confidence
25.377342,-100.257271,n
25.376101,-100.251518,n
25.372873,-100.259445,n
25.363106,-100.259949,n
25.381855,-100.255287,n
25.356205,-100.250923,n
25.360287,-100.246948,n
25.361704,-100.253487,n
25.361288,-100.247093,n
25.375885,-100.259216,n
25.360474,-100.253822,n
25.371881,-100.259109,n
25.367832,-100.259407,n
25.35965,-100.260666,n
25.357222,-100.24749,n
25.376598,-100.253311,n
25.353178,-100.247742,n
25.356359,-100.254646,n
25.374207,-100.262009,n
25.363752,-100.259926,n
25.380585,-100.253548,n
25.374887,-100.256004,n
25.378868,-100.256203,n
