Dates,NI
2021-03-10,4
2021-03-11,0
2021-03-12,12
2021-03-13,113
2021-03-14,51
2021-03-15,26
2021-03-16,182
2021-03-17,86
2021-03-18,55
2021-03-19,49
2021-03-20,40
2021-03-21,40
2021-03-22,62
2021-03-23,29
2021-03-24,67
2021-03-25,290
2021-03-26,263
2021-03-27,139
